そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
まず、肺転移が増悪しており、オプジーボが中止になった。	まず、肺の転移巣がすべて大きくなってる理由からオプジーボが中止になったのですが。
3週間前のMRI検査で、夏に脳腫瘍が再発していて、それが消失したと言われて驚いた。	３週間前、MRIで夏に、脳に腫瘍がまた出来てて、それが消えたと言われてぽかぁん。
排便あり（下痢だが、問題はない）。	通じあり(ただし下痢に近い軟便、問題は無い）。
左指と両足先のしびれ感、下肢脱力、歩行困難等は変わらず。	左指、両足先の痺れ、足の脱力感、歩行困難など変わらず。
咳嗽はまだ止まず、呼吸困難がある。気候によるものであってほしい。	まだ、咳止まず、息苦しく、、、気候によるものであって欲しいのだが。
脱毛症がある。	髪、よく抜ける。
そして、最近も脱毛症が出ている。	んで、最近も、またまたよく抜ける。
脱毛症が出ていても、まだどうにかカツラいらずで過ごせている。	毎日、たくさん抜けるのに、まだ、なんとか、カツラいらずで過ごせてる。
1週間目に上半身の筋肉痛と貧血の症状が出てきた。	一週間目に上半身の皮膚なのか筋肉なのかが痛み少し貧血気味の症状が出てきました。
2週間目には脱毛症を発症したが、想定の範囲内であり、あまりショックも無かった。	二週間目には髪の毛が抜け出しましたが、想定の範囲内であまりショックも無かったです。
その短さが衝撃の余命宣告だったのにもかかわらず、癌性疼痛を緩和するだけで、こんなにも長く生きられるのだと、今さらながら驚いている。	癌の痛みをとるだけで、その短さが衝撃の余命宣告だったのにもかかわらず、こんなに長く生きられるのだといまさらながら驚いています。
倦怠感があるものの体調は良い。	体の方は少し怠さがあるものの、体調は良いです。
最近の副作用は下肢皮疹につきる。	最近の副作用はとにかく、太ももの湿疹につきます。
湿疹というよりもうあざである。	湿疹というよりもうアザですね。
大腿部に色素沈着と腫れがあり、他人が見たら何事かと思うほどである。	太ももが色素沈着＋ボコボコに腫れて、他人が見たら何事と思うぐらいです。
その上、そう痒がある。	しかも激痒い。
3日目も疼痛やしびれ感等は無く、体調は良好だった。	３日目も痛みもしびれもなにも感じることもなく良好でした。
4日目以降、徐々に関節痛としびれ感が出始めた。	４日目から徐々に関節の痛み、手足のしびれが始まりました。
5日目、関節痛としびれ感は悪化し、鎮痛剤では疼痛はなかなか治まらない。	５日目痛みとしびれはますますひどくなりもう痛み止めの薬では痛みはなかなか治まりません。
しかし、鎮痛剤が体に合わなかったらしく全身発赤、そう痒も悪化した。	しかし痛み止めの薬が体に合わなかったらしく全身真っ赤になりかゆみもひどくなりました。
7日目、関節痛はほぼ消失しつつあったが、手足にしびれ感が残っていた。	７日目はもう痛みもほとんどなくなってきましたが手足しびれはぬけませんでした。
夜も手足のしびれ感のために、なかなか眠れなかった。	夜も手足のしびれのため中々眠れませんでした。
面皰ができる。	にきびが出る。
頭痛がする。	頭が痛い。
鼻出血はアバスチンの副作用に起因するので、アバスチンを次回やめようと考えている。	鼻血が出やすくて止まりにくいのは、アバスチンのせいなので、アバスチンを次回やめようと思っています。
胃の専門医を受診したところ、昨日の胃痛はシスプラチンの副作用だろうとのことだった。	胃の専門医に診てもらうと、昨日の胃痛はシスプラチンの副作用だろうとのこと。
現時点で体調不良もなく、抗がん剤投与当日は無事に終了。	今のところ、抗ガン剤投与の当日は具合も悪くなることはなく無事に終了。
肝機能異常があり、アバスチンが減薬になった。	肝臓の値が若干高めになってきてるそうで、アバスチンが減薬になりました。
ところが、前回開始時より3キロ強の体重減少があり、身長も1センチ弱縮んでいた。	ところが体重が全開開始時より３キロ強減り、信じられないことに身長も１センチ弱縮んでいた。
現在大きな変化はまだ無いが、口内違和感が出始め、尿量減少があり、四肢浮腫が出てきた。	で、今現在は大きな変化はまだ無いが、口の中が少し違和感が出始めている、尿の量と勢いが減って手足に若干浮腫みが出てきた。
前回同様であれば、3日目と4日目にあたる明日と明後日頃から倦怠感、食欲不振が強く出現するおそれがある。	前回同様であれば、３日目、４日目にあたる明日、明後日頃から倦怠感、食欲不振が強く出始めるのではないかと懸念している。
しかし、26日に発熱し、めまい感、筋肉痛、疲労感、呼吸困難に襲われた。	しかし、26日に発熱し、目まいと筋肉痛、疲労感、息苦しさに襲われた。
副作用のしゃっくりは、どうにか止められないだろうか。	正直、副作用のしゃっくりだけは、どうにかならんだろうか。
顔にほてりが出てきて、嘔気、発熱も出てきた。	顔のほてりから始まり吐き気、発熱。
例えるなら船にずっと揺られているような気分不良である。	例えるなら船にずっーと揺られて気持ち悪い感じ。
嘔気があり、緩和する方法が分からず、ベッドが悪いのか、硬い布団に変えてみようか、座椅子に座ってみようかなどと、母親と試行錯誤したが、結局嘔気は緩和できなかった。	寝ても起きても気持ち悪いし、どーしたらマシになるのか分からず、ベットが悪いのか??硬い布団にかえてみようかとか、座椅子に座ってみようとか、お母さんを動かすだけ動かし、結局何をやっても気持ち悪いままで。
ドセタキセルの時は嘔気はなく、アリムタは軽いと聞いていたので、予想以上の嘔気だった。	ドセタキセルの時は吐き気はなかったし、アリムタは軽いと聞いていたので、想像以上で。
これで当分、面皰は現れないだろう。	これで暫くは、痛い痛いニキビともおさらばやー。
やはり毎回、空腹時でもおくびが出る。	やっぱり毎度お腹減っててもゲップが出て。
空腹のはずだが、食欲不振で、嘔気もある。	お腹減ってるはずなのに食欲が湧かなくて、軽く吐き気もあるので。
8月3日　30日から続く便秘解消のため、浣腸を実施。	8/3 30日からの便秘解消の為、浣腸。
8月10日　顔面掻痒感がある。	8/10 顔がかゆくなる。
8月14日　顔面掻痒感は消えたが、胸部や大腿部に発疹が現れた。	8/14　顔のかゆみはなくなったが、胸や太ももに発疹。
朝処方されたイメンド80mgと点滴のデキサートが効いたのか、吐き気は少し楽になった。	朝に処方されたイメンド80mgと点滴のデキサートが効いたか、少し楽に。
胸やけは治まったが、食欲不振である。	おさまれど、食欲はなし。
発疹が広がり、全身性皮疹になった。	ブツブツだらけになったのは顔だけに留まらず体中にどんどん出てきました。
昨日と今日の蕁麻疹とは別に、発疹が出ていた。	これはね、昨日と今日のじんましんで痒いものとは別に皮膚に何かが出来てると思い、よく見たらいっぱいブツブツしてました。
落ち着いてきたのは、頭痛、感冒、内臓と顔の副作用である。	で、落ち着いてきたのは頭痛、風邪、内臓、顔の副作用なり。
前半は今までの抗がん剤よりも嘔気が強かったこと、10日目の日曜日に突発的に38度以上の発熱があり、また同じ頃から呼吸困難、咳嗽も出てきたこと、副作用と思われるものについては全部話した。	前半、今までの抗がん剤よりも吐き気がキツかったこと、10日目の日曜日に突発的に38℃超えの熱が上がったこと、また同じ頃から息苦しく、咳も出てきたこと、副作用と思われるものは全部話した。
胸苦しさもあったため、「再発」など悪い事態も予感しながら主治医の返事を待っていると、CTの画像を操作しながら、「薬剤性の肺炎」と告げられた。	右胸が苦しい事も合ったので、「再発」とかイヤな予感もしながら、主治医の返事を待っていたら、CTの画像を操作しながら、「薬剤性の肺炎です。
2クール目終了時には、ほんの少しだが、悪性腫瘍は縮小していた。	2クール目が終わったときには、ほんの少しだけど腫瘍は小さくなっていた。
高血圧が改善しない。	血圧がなかなか下がらない。
しかし現在のところ、高血圧にはたいした効果がない。	しかし今のとこ大した効果がない。
食欲不振ではない。	食欲もあり。
下痢はロペミンでどうにか抑えられている。	下痢はロペミンでなんとかマシに抑えられてる。
5日目頃から胸部絞扼感が強まり、寝転がった姿勢から急に起き上がったりすると、息切れがするようになってきた。	5日目くらいから右胸の締め付け感が強くなってきて、こたつに寝転がっている体勢から急に起き上がったりすると、息がきれるようになってきた。
胸水の増加が一番心配だったが、かえって減少しているようだった。	一番心配だったのが胸水が増えていることだったが、心配に反して、却って減っているようだった。
ただし、もう一つ心配だった白血球減少があり、点滴前日の標準値超から、昨日は91/10以下と、白血球減少が起きていた。	ただもう一つ心配だった白血球はダダ減り点滴前日が110越えで標準値超だったのが昨日は何と91/10以下になっていた。
この時点で、改善された症状は、咳嗽、胸痛、股関節痛である。	この時点で、わたしの改善された症状は、咳きと胸、股関節等の痛みです。
朝起きると、脱毛症が出ていた。	朝起きるとまくらに抜けた毛がついていた。
脱毛症か激しくなってきた。	髪の毛の抜けか激しさを増してきた。
不眠がある。	眠れなかった。
しゃっくりが出る。	しゃっくりでる。
点滴後に血管痛がある。	点滴後の血管が触ったら痛い。
脱毛症が出てきた。	抜け毛まあまあ指を入れるとがっさり抜けるようになってきた。
やはり今回は2日目から嘔気がある。	やはり今回は２日目から気持ち悪くなる。
微熱が1週間あり、高熱は1日あった。	微熱が1週間、内高熱は1日。
舌のしびれ感がある。	舌の先のしびれ。
四肢のしびれ感が悪化。	手足のしびれの悪化。
鼻出血がある。	鼻をかむと鼻血のかたまりが出る。
食事中に鼻汁が出る。	食事中、鼻水が出る。
再度上昇し始めた腫瘍マーカーに日々おびえていたが、追加された薬アバスチンの効果と旅行の効果で、CTの画像を見る限りでは悪性腫瘍が少し縮小していた。	再び上がり出した腫瘍マーカーに日々ビクビクしていたが、追加された超高級品アバスチンパワーと、旅行のおかげで、CTで見る限りでは腫瘍が少し小さくなってた。
まだ嘔気が残っている。	なんかまだ気持ち悪い。
嘔気があったが、寝込んだら負けだと思い、ビニール袋片手に気合で川崎に向かう。	気持ち悪くても寝込んだら負けのような気がして、ビニール袋片手に気合で川崎にGO。
というのも、午後の仕事中にやはり吐き気と倦怠感が出現したからである。	というのもPM仕事中、やはり吐き気、倦怠感発生。
1. 翌日から7日間ほど、嘔吐や吐き気が続いた。	①嘔吐、吐き気、翌日から7日間くらい。
2. 3週間後あたりから脱毛症が出始めた。	②脱毛、3週間後くらいから抜けはじめました。
3. 数日後からキーンと高音の耳鳴がある。	③耳なり、数日後から、キーンと高い音です。
退院後も毎日耳鳴がある。	退院しても毎日耳なりする。
4. 浮腫については、マッサージをしたり塩分を控えたりして対処。	④浮腫み、マッサージしたり、塩分控え目にしたり。
5. 浮動性めまいがある。	⑤ふらつき、なんだかフワフワしてる気がする。
（鼻出血があった）	（鼻嚙んだら鼻血がにじんだ。
※昼間は倦怠感がある。	※昼間は少しだるい。
（関節痛が少しある）	（節々が痛いような痛くないような違和感チョットあり）
※鼻出血がある。	※鼻をかんだらチョット血がにじむ。
（おかげで副作用の便秘は3日目頃に解消）	（おかげで副作用の便秘は３日目ぐらいで解消）
嗄声がある。	のどがちょっとだけ枯れてる。
胸やけがたまにある。	気持ち悪い程ではない胸焼けぽい感じがたまにあり。
頭皮の皮膚炎は乾燥によるものである。	頭皮のかぶれは乾燥によるもの。
皮膚乾燥にヒルドイドを、乾皮症にサリチル酸ワセリンを、との指示だった。	指先の乾燥もヒルドイド足の爪の周りや踵はサリチル酸ワセリンをとの指示でした。
爪色素沈着はしかたがない。	爪の色素沈着は仕方ないですね。
夕方、再度胸やけに襲われた。	夕方に、またまたムカムカが襲って来ました。
いつもと同じく、2日後あたりに吐き気がある。	いつも通り2日後くらいにごく軽い吐き気。
その後頭重が出て、今日まで続いている。	そのあと頭がボンヤリ重い感じになって今日まで。
最近気づいたが、前頭部に脱毛症が現れている。	最近気付いたのですが、前髪部分と言うか頭頂部の前よりと言うかそこら辺の髪の量が少なくなって来ています。
薄毛とまではいかないが、前頭部に脱毛症がある。	薄毛とまでは行きませんが、そこら辺の部分が半分くらいになってる気がします。
結果、リンパ節腫大が縮小し、原発の悪性腫瘍もわずかに縮小していた。	結果はリンパの腫れが小さくなり、原発巣もほんの少しだが小さくなっていた。
口内炎は今回まだ出ていない。	口内炎は、今回はまだ大丈夫です。
映し出されていたCTの画像では、悪性腫瘍が縮小していることがすぐに分かった。	映し出されていたＣＴの画像は、腫瘍部分が小さくなっているのが直ぐ分かった。
悪性腫瘍が全体的に縮小していた。	その三角形の外側が、全体的に小さくなっていた。
同じ右肺の悪性腫瘍の一つが拡大していたことである。	同じ右肺の先部にある空洞の一つが大きくなっていたことである。
赤血球減少もあるようで、貧血になっているのだろう。	赤血球も減っているようで、軽い貧血状態ではあるんだろうな。
息切れと易疲労感がある。	息は切れるし、疲れやすい。
脱毛症は、頭髪、ヒゲ、鼻毛、眉毛、まつ毛で顕著に出ており、その他の部位はそれほどでもないようだ。	そして、脱毛については、顕著なのは頭髪、ヒゲ、鼻毛眉毛、まつ毛、その他については、それ程抜けてないようだ。
フライ、揚げ物、天ぷら等、油脂の多い食品をとった後は、胃もたれ感がある。	フライ、揚げ物、天ぷら等、「油脂のかたまり」みたいなものを食べると、後でけっこう苦しい思いをする。
また、月に1回は同じ日に両方の薬を入れるが、その2日後あたりに全身の倦怠感が出る。	それと、1ヶ月に1回は、1日に両方の薬を入れるのだが、その2日後くらいに全身の倦怠感が出て、この時は走るのは無理な感じ。
数日前に2回目のオプジーボ治療を実施したところで、悪性腫瘍に対する効果はまだ不明である。	数日前に2回目のオプジーボを実施したところで、まだ効果はわからず。
主治医にも相談し、サイラムザとドセタキセルの投与後3週間経過し、白血球も回復する頃だとは思うが、血小板減少症があるため少し不安だった。	主治医にも相談してサイラムザとドセタキセルの投与から3週間経過したタイミング、白血球もおそらく回復していると想定しているが、出血が止まりにくくなっているので少しドキドキした。
血管腫のようになり、液体窒素治療を受けたが、かさぶたにならず少しまた大きくなってきた。	血管腫みたいになっていて液体窒素で焼いてもらったが、かさぶたにならず少しまた大きくなってきた。
全身倦怠、顔面浮腫、脱毛症等があるため、外出も嫌になるほど気持ちが滅入ってしまうからである。	全身の倦怠感とむくんでパンパンになった顔とか脱毛とかで外出するのもイヤになるくらい気持ちがマイナスになってしまうからで。
確かに少しは効果があったと思うが、3か月後には胸椎への骨転移と腹部リンパ節腫大が見つかった。	でも確かに少しは効果があったと思うのですが、３ヶ月後には胸椎（背骨）に転移と腹部リンパ節腫大が見つかったし。
全身痛や倦怠感があったことを医師に伝えたが、それは単なる風邪でしょ、という程度の反応だった。	体の痛みやだるさがあったことを伝えたのだが、医師はそれは単なる風邪でしょ、というぐらいの反応だった。
しかし、手の関節痛は、かえって悪化してきた。	しかし、何時まで経っても腫れがひかず、却って酷くなってきた。
嘔気と倦怠感とでフラフラの誕生日だった。	嘔気と倦怠感でフラフラの誕生日。
だが、悪性腫瘍は5mm程度であるため、増大か維持か微妙なところだ。	でも5mmくらいだから増大って言っていいか維持っていうとこの微妙なところ。
治療を受けてきて、副作用の嘔気としゃっくりが出ているが、しかたないか。	やってきたけど、副作用の嘔気、しゃっくりは仕方ないかな。
今回は帰宅するまで嘔吐しなかったが、帰宅後に嘔吐した。	今回は帰宅までゲロゲロにはならなかったけど、帰宅後オェ。
気力低下も副作用が原因なのか。	気力が落ちるのも副作用のせいか。
咳嗽は相変わらず、その上血痰が悪化した。	咳は相変わらずな上に血痰が酷くなった。
おそらく肺癌が拡大しているのだろう。	たぶん肺がんが大きくなっていってるんだと思う。
オプジーボは肺癌に全く奏功していないようだ。	なかなかオプジーボさんは頑固なようでまだ全然働いてないようだ。
下肢重感があり、肺炎疑いもあるためか、歩行時には呼吸困難になった。	脚は相変わらず重く、肺炎疑いもあるからか、ゆっくり歩いても呼吸も苦しかった。
この下肢麻痺が治らなければ、障害者扱いになるのではないだろうか。	この脚の麻痺って、 治らなかったら障害者扱いになるのではないだろうか。
すぐに鎮痛のためにロピオンの点滴が打たれ、ベッドで横になっていたら、呼吸困難は次第に改善した。	即お決まりの痛み対策の併用でのロピオンの点滴が打たれ、ベッドで横になっていたら、段々呼吸が戻り落ち着きました。
タグリッソは脳腫瘍には効いているが、他（特に肺内）には効かないのだろうか。	タグリッソは脳には効いていますが、他（特に肺内）には今一つなんでしょうか。
嘔気があったが、それ以外の副作用は特に無かった。	副作用は軽い吐き気がありましたが、他にはこれと言ってなかったです。
カルボプラチン＋アリムタ＋アバスチンの治療により、残り7つの悪性腫瘍が消失した。	残り7つはカルボプラチン・アリムタ・アバスチンの治療で腫瘍が消えました。
ジオトリフの副作用による口腔内痛、口角炎があり、なかなか「おいしい」と感じることが少なくなっていた。	ジオトリフの副作用で口腔内が荒れて、口角炎があってなかなか“おいしい”と感じる事が少なくなってた。
げっぷや咳の空気圧でさえも喉頭痛を感じた。	むしろげっぷや咳の空気圧でさえも喉が痛かった。
しかし足の爪囲炎のために歩行が大変だった。	しかし足の指の爪囲炎がなかなかきつく、歩くのがなかなか大変だったな。
その後12月14日に入院し、一気にイレッサを投与した。ここ数日の症状改善と医師の言葉から予想されたことだが、最初のレントゲン写真との比較で肺癌が消失していた。	それから12月14日入院、一気のイレッサ投与、ここ数日の症状改善、先生の言葉のはしはしで予想はされたことだが、最初のレントゲンとの比較で陰が消えていた。
肺癌は、全部消えたとは思わないが、その一帯では消えている。	癌が全く消えたとは思わないが、その一体がクリアされている。
肺癌は拡大していた。	癌は大きくなってしまった。
肺癌は数も増えた。	数も増えちゃった。
服用開始後1～2日目に嘔気があった。	服用開始１～２日目の吐き気。
飲み会の3次会頃のような眠気が続く。	「飲み会の３次会で良い気分になってる頃」の眠気が続く。
だが、この時期最も苦しんだことは、排尿障害である。	が、私がこの時期最も苦しんだのは「排尿障害」。
服用3日目以降排尿障害があり、1週間目についに尿閉となった。	服用３日目以降、徐々に尿が出にくくなり、１週間目についに「出なくなった」。
膀胱いっぱいに尿が溜まっているのに排尿障害がある。	膀胱がパンパンになる程尿が溜まっているのに「出ない」。
結果、悪性腫瘍が縮小していた。	結果は、おかげさまで、無事クリアすることが出来ました。
あとは色素沈着だけなのでミノマイシンは止めてもいい、と言われた。	後は色素沈着だけなので、ミノマイシンは止めてもいいでしょう、と仰いました。
Ｌ医師は「肺の呼吸音も異常はなく、左脇のぷよも小さくなってきて、体重増加もあって、良好」という。	Ｌ先生が言うには、肺の呼吸音もおかしくないし、左脇のぷよも小さくなってきているし、体重も少し増えてきたので、いい感じだねぇ～と。
1. 点滴後2～3日後に嘔気が出て、嘔吐した。	１．吐き気⇒点滴後２、３日後にダウン、嘔吐、グルメ番組が見れない。
2. 点滴開始後、3週間後から脱毛症を発症。	２．脱毛⇒点滴開始後、３週間後から髪が落ちてきた。
3. 足のしびれ感が発現。	３．しびれ⇒両足の指先にしびれが発生。
やはり、吐き気と嘔吐が一番嫌だった。	やはり、吐き気＆嘔吐が一番いやだった。
皮膚そう痒症があり、大変だ。	とにかく体が痒いの痒くないのと、大変です。
また、昨日から口内炎ができている。	あと昨日ぐらいから口内炎ができました。
3コースと4コースは、帯状疱疹のこともあるため、減量しての投与となった。	3コース、4コースは、帯状疱疹の事もあり、減量しての投与。
食欲不振ではない。	食欲もあり。
夜、40度の高熱が出る。	夜、４０度の熱が出る。
発熱があり、なかなか解熱しない。	なかなか熱は下がらない。
鼻出血がある。	鼻血が流れてきた。
局所腫脹があり、腕が痛い。	腕ははれて痛い。
足のしびれ感は強めだ。	足の指のしびれが強め。
高熱により他の抗がん剤よりも体力を消耗する。	とにかく熱が高くなり他の抗ガン剤より体力消耗する。
2キロの体重減少があった。	約２キロ痩せた。
担当医師は「悪性腫瘍に効いているようですから続けましょうか」と言う。	担当医師は、「まあ、レントゲンでは患部の影が少し薄くなっているようなので、効いているようですから続けましょうか。
釣りの疲れの影響か、満月様顔貌が悪化している。	釣りの疲れが影響してか、ムーンフェイスがさらにひどくなっている。
胸膜痛があり、少し苦しい。	胸膜によじれるような強い痛みがあり、ちょっとしんどいです。
オプジーボの副作用で間質性肺炎になり、発熱により体力が低下したため、治療が遅れた。	オプジーボで、間質性肺炎になり、一週間熱が下がらず、とても体力が落ち、治療が遅れてしまった。
あまりの高熱に命を落とすかもしれないと思った。	あまりの高熱に、命を落とすかもしれないと思った。
味覚異常がある。	もう何食べてもまずくて、食べられない。
この1週間で体重減少があった。	この１週間で大分体重が減ってしまった。
これまで何度も使ってきたカルボプラチンに対して薬物アレルギーが起きてしまった。	今まで何回も使ってきたカルボプラチンに対してアレルギーが起きてしまいました～。
手のひらからそう痒が出始め、すぐナースコールをし、あっという間に浮腫と蕁麻疹が出て、呼吸困難になり、ステロイドや気管支拡張剤、利尿剤等を投与された。	手のひらから痒くなりすぐナースコールをしたらあっという間にむくみじんましん、喉がせまくなるような感覚になってバタバタとステロイドや気管支拡張剤、利尿剤などなど。
昨夜は、暑さと、イリノテカンの副作用によるほてり、そして疼痛で寝付けなかった。	昨晩、暑さと（イリノテカンの副作用による）火照りと、身体の痛みで寝付けなかったのだけど。
最後の6クールでシスプラチンの薬物アレルギーが出て以来、あまりいい結果が出ていない。	最後の６クールでシスプラチンでアレルギーがでてからあまりいい結果がでてない。
脱毛症が出ただけである。	髪の毛抜けただけ。
今日の採血ではやはり腫瘍マーカー異常が出ていた。	今日の採血ではやっぱりマーカー少し上昇。
だが、炎症反応は下がっていた。	でも炎症反応は下がってた。
抗がん剤で体重減少があったが、順調に元に戻りつつある。	抗がん剤で痩せてしまった体も順調に元に戻りつつありすっかりこでぶさんになりつつあります。
いつもの嘔気、倦怠感、味覚異常、全部がつらい。	いつもの吐き気、ダルさ、鉄を食べているような味覚全部がつらいな...。
今回はそれにめまい感が追加された。	今回はそれにめまいがプラスされた。
今回の入院では、神経痛の疼痛対策を主治医と相談することになっていた。	今回の入院では、神経痛がひどいので、痛みの対策を主治医と相談することになっていました。
舌下錠アブストラルが神経痛に効いた。	アブストラルという舌下錠これが効いてくれました。
いろいろ服用しているが、神経痛が無くなるとは夢のようだ。	色々服用していますけど、痛みが無くなるなんて夢みたいです。
脱毛症で頭髪が無くなった。	つるっぱげになった自分。
4回目シスプラチン+アリムタ投与後10日目、体調不良はない。	4回目シスプラチン+アリムタ投与から10日目、体調は普通で変わりません。
悪性腫瘍は進行していないように感じる。	がんの進行は進んでいないと感じます。
抗がん剤治療の副作用で口内炎は起きなかったが、これからも口腔ケアをして口内炎を防ごうと思う。	私は抗がん剤治療の副作用で口内炎は起きなかったのですが、これからも口腔ケアをして口内炎を防ごうと思います。
この1週間、下痢があり、その他のトラブルは特になかったが、その経過を振り返り、明日は点滴をせず、退院することになった。	結果、この１週間の経過(激しい下痢は起こらずただ回数は増加／その他のトラブルはこれといってなし)を振り返って、あしたは点滴をせず、退院。
30分も経つと頭痛はやわらいだ。	３０分も経つと頭痛はやわらいだ。
夜、嘔気が出てきた（程度：弱）。	夜から口が悪くなる（気持ち悪さ＋）。
嘔気がある（程度：中〜強）。	気持悪くなるが、吐かずに済む（気持ち悪さ＋＋〜＋＋＋）。
初回のパクリタキセル＆カルボプラチンでは嘔吐があり、脱水状態が心配だったが、今回は量は減ったものの水が飲めるので安心した。	初回のパクリタキセル＆カルボプラチンの時は、ひどい時には水が飲めない状態になり（その刺激で嘔吐していたので）、脱水状態が心配だったのですが、今回は量は減ったもののそれでも水が飲めるのでほっとしました。
ただし、嘔気があり、初回同様炭酸飲料が飲みやすく、そのため普段は口にしないサイダーを飲んでいた。	ただ、お茶が全く飲めなくなり、初回同様に炭酸飲料が飲みやすい状態になったので、普段は口にしないサイダーを飲んでいました。
4月26日、口腔内不快感が軽減してきたが、まだ本調子ではなかった。	4月26日には、口の気持悪さが減ってきた感じはありましたが、まだ本調子ではありませんでした。
ただし、咳嗽が出始め、なんだか嫌な予感がした。	ただ、止まっていた咳が出だして、なんだか嫌な予感が。
28日、皮疹が出始めた。	今度は、28日から皮疹が出だしました。
29日夜、胸痛が出た。	29日の夜には右胸が痛くなるし。
その後咳嗽が悪化、4日夜、再度右肺に疼痛が出て、寝ようとすると雑音が聞こえるようになった。	その後、咳がまた増え、4日の夜に再び右肺が痛くなり、しかも寝ようとすると雑音が聞こえるので。
今までの疲れがどっと出たような脱力感であった。	今までの疲れがどっとでた、そんな脱力感であった。
白血球減少症が少し改善したことで、今後は、6月19日に一泊入院し同じ治療を続けることになった。	白血球が増加したことで決まっていなかった今後の治療は、６月１９日に一泊入院し同じ治療を続けることになった。
今回は嘔気が強かった。	今回は吐き気が強かった。
内服すると、鼻閉が解消し、そのため嗄声も解消した。	飲むとまず鼻づまりが解消し、そのおかげで声も出るようになりました。
吐き気が治まらない。	とにかく吐き気がとまらない。
浮腫が消えた。	浮腫みがなくなったよ。
悪性腫瘍は消失しないが、そのまま変わらない。	腫瘍はなくならないんだけど、そのまま。
副作用のため昨夜は不眠があり、ようやく眠れたと思ったら午前3時に目覚め、そのまま朝を迎えた。	副作用で、昨夜はなかなか眠れず、やっと眠れたと思ったら3時に目が覚めてそのまま朝を迎えました。
昼頃から顔にほてりがある。	お昼頃から顔が火照っています。
浮腫が出てきそうだ。	浮腫が始まるようですね。
ほてりと顔面痛がある。	火照って、頬が痛い。
CTの画像を前回の結果と比べて「悪性腫瘍が微妙に拡大している」と説明された。	ＣＴの画像を見ながら前回の結果と比べて「微妙に大きくなっている」との事。
素人の目にはわかりづらいが、悪性腫瘍は1ミリほど拡大しているそうだ。	素人が見た感じではわかりづらいんだけど1ミリほど大きくなっているとの事。
腫瘍マーカー異常が悪化し続けていたが、今回は横ばい。	ＣＥＡはずっと上がり続けていたけど今回は横ばい。
発疹は有痛性皮疹ではない。	別に痛くもかゆくもないのですが、気持ち悪いので。
白血球減少症が回復したため来週から治療開始となった。	白血球の値も戻り、来週から開始となりました。
そして、単純レントゲンで見る限り、悪性腫瘍は縮小している。	そして‥‥単純レントゲンで見る限りーーー腫瘍は小さくなってる。
ただし、ゾピクロンの影響で過眠がある。	ただ、ゾピクロンの影響下、眠っている時間が長いですな〜。
肺癌は、原発も再発部分も問題なかった。	肺に関しては、原発も再発部分も問題ありませんでしたが。
頭部の悪性腫瘍は、前回見つかった影に加えてもう一つ新しい影が見つかった。	頭部は、前回見つかった影に加えてもう一つ新しい影が見つかりました。
ドセタキセル＋サイラムザでは、脳転移を抑えられなかったようだ。	ドセタキセル＋サイラムザでは、脳転移は抑えられなかったようです。
脱毛症や倦怠感等、今までにない副作用にも頑張って耐えたのに。	脱毛とか、倦怠感とか、今までにない副作用も頑張って耐えたのに。
副作用もあまり気にならない程度で、毛質異常だけが残念だ。	副作用もあまり気にならない程度で、髪質が変わった事だけが残念かな。
